activity_id,country_code,percentage
NL-KVK-41207580-NL-KVK-41207580-4001,NL,26.0
DAC-1601-INV-077248,RW,34.0
DAC-1601-INV-077248,PE,33.0
DAC-1601-INV-077248,BD,33.0
GB-CHC-1099776-O2,ET,33.0
GB-CHC-1099776-O2,UG,67.0
GB-CHC-1076822-82605052,ET,100.0
DAC-1601-INV-059953,KE,18.0
DAC-1601-INV-059953,NG,18.0
DAC-1601-INV-059953,TZ,18.0
DAC-1601-INV-059953,UG,28.0
XI-GRID-grid.7836.a-NIHR158451,ZA,55.35
XI-GRID-grid.7836.a-NIHR158451,BJ,4.49
XI-GRID-grid.7836.a-NIHR158451,BW,4.07
XI-GRID-grid.7836.a-NIHR158451,KE,4.09
